age,exposure,id
69,10.140892948211732,298
70,10.212088070103247,298
71,-1.0985428864248914,298
72,4.261591490718302,298
35,-26.591179706716183,392
36,-31.14347170000888,392
37,-20.585788202932832,392
38,-22.72771440669343,392
39,-26.799390998233342,392
40,-26.184388846398956,392
41,-22.969360078127732,392
42,-33.82999015234904,392
43,-37.66947957256424,392
44,-26.585691513190188,392
45,-30.756264963846064,392
46,-29.93351410826252,392
47,-14.705449911260777,392
48,-6.443969159896234,392
49,-7.58901709190325,392
50,-14.403984604983762,392
51,-8.883729055179682,392
52,-12.451812848395367,392
53,-7.351644829264263,392
54,-35.044019073871596,392
55,-19.90895495699565,392
56,-26.14964035107795,392
57,-21.973679456373546,392
58,-16.19564331136419,392
59,-17.123916931107907,392
60,-6.0300336265824335,392
61,-11.089154608673208,392
62,-3.208569260001105,392
63,-20.049729092570246,392
64,-15.085189074310422,392
65,-1.5058828654317589,392
66,-17.82254717284524,392
67,-15.569509095390494,392
68,2.399017887078731,392
69,10.002608774677395,392
70,3.492433839313643,392
71,-0.7546303355801336,392
72,-0.8477947208598575,392
73,9.580465259576656,392
74,14.619895770251617,392
75,5.832169803166085,392
76,-7.8579506558397725,392
77,-0.3697996304583899,392
78,9.885899154540398,392
79,18.574836586404693,392
80,26.45332750580342,392
28,-21.637242463705604,415
29,-28.602037419769328,415
30,-22.042499458512815,415
31,-35.7339907297303,415
32,-40.869351380100504,415
33,-30.153482741013164,415
34,-14.961144587739316,415
35,-45.03623019211032,415
36,-60.960759281675294,415
37,-41.74092810321865,415
38,-49.70597559422648,415
39,-53.2583657363624,415
40,-39.02590134405381,415
41,-48.647802257961295,415
42,-37.285520190678014,415
43,-52.966921247176124,415
44,-52.71521130629318,415
45,-41.84804867074886,415
46,-42.50234665702045,415
47,-35.18101930943393,415
48,-39.48399615981314,415
49,-51.07424755753756,415
50,-40.9851616011846,415
51,-40.67026079093885,415
52,-43.96379567069309,415
53,-33.5081901276981,415
54,-23.764057150912166,415
55,-20.0242834728727,415
56,-15.344721310443104,415
57,-1.1647497022625135,415
58,-6.868720258527839,415
59,-16.438812671668103,415
60,-13.830956604778137,415
61,-4.756056681321437,415
62,-17.583973014731054,415
63,9.784450081964511,415
64,16.117315550374478,415
65,18.563147048043717,415
66,10.106191575993352,415
67,10.813684370769737,415
68,10.12556032207038,415
24,-40.9211040175654,467
25,-41.22940795740502,467
26,-41.90934315428026,467
27,-19.67342653719965,467
28,-31.214521069995847,467
29,-32.33209194609199,467
30,-22.507642001637162,467
31,-19.982734911913347,467
32,-13.826903540694701,467
33,-18.61140259521151,467
34,-17.000146156849425,467
35,-35.468346766215596,467
36,-32.79108719947216,467
37,-40.5207864545931,467
38,-48.214493867250795,467
39,-29.184039632805295,467
40,-14.886744366819341,467
41,-16.608104145201867,467
42,-5.4026372461227545,467
43,-1.3803494983563844,467
44,-1.7098234079810446,467
45,-2.7496695474164454,467
46,-17.10016598430335,467
47,-11.516050830792343,467
48,-7.295203671744609,467
49,-17.6024044384097,467
50,-31.447469658619003,467
51,-11.585716637102312,467
52,-14.061570448355022,467
53,-13.602978108104828,467
54,-3.5575295639865168,467
55,-3.281075707300202,467
56,-6.180295523143768,467
39,-12.909036124336847,476
40,-4.688061767263985,476
41,-5.801781636500195,476
42,0.33078283542910114,476
43,-0.3617920453223853,476
44,-6.163836295346503,476
45,-10.79043415300175,476
46,-11.035587754149283,476
47,-23.897829020153818,476
48,-22.106699799161593,476
49,-17.88718815360075,476
50,-19.68714110624831,476
51,-7.82479239479043,476
52,-13.303404551479716,476
53,5.4643179805519395,476
54,-11.973757931887203,476
55,-14.93787578355261,476
56,-7.447701253548377,476
57,0.550346526432417,476
58,-16.100812593642154,476
59,-28.163160639929224,476
60,-18.647786267374766,476
61,-20.57633983711557,476
62,-19.42168875717274,476
63,-27.59324133885756,476
64,-13.692741641166288,476
65,-19.767368439180473,476
66,-22.659773519539037,476
67,-2.4032406585326997,476
68,-1.0444775763745278,476
69,10.319243719398532,476
70,15.64161927985759,476
71,17.827602127243132,476
72,3.1535445639850956,476
73,12.407377082113388,476
74,10.301862930056807,476
75,18.873874203653035,476
76,19.59114873445585,476
